Score	%_Div	%_Del	%_Ins	Query	Beg.	End.	Length	Sense	Element	Family	Pos_Repeat_Beg	Pos_Repeat_End	Pos_Repeat_Left	ID	Num_Assembled	%_of_Ref

###1802	18.7	0.2	5.9	Scaffold_2	924676	925084	387	C	ET_34	LTR/Gypsy	(5041)	2492	2106	5375	1	No_ref_available

###414/3162	18.368	2.016	2.454	Scaffold_2	1436810	1437665	790	C	ET_34	LTR/Gypsy	(5044)	2489	1673	5682/5682	2	No_ref_available
414	22.4	0.0	0.0	Scaffold_2	1436810	1436907	98	C	ET_34	LTR/Gypsy	(5044)	2489	2392	5682	1
3162	17.8	2.3	2.8	Scaffold_2	1436971	1437665	692	C	ET_34	LTR/Gypsy	(5169)	2364	1673	5682	1

###4080/9811/21808	8.631	1.116	0.500	Scaffold_2	34144	41529	5892	C	ET_35	LTR/Gypsy	(4523)	7283	90	4757/4757/4761	3	No_ref_available
4080	2.4	0.0	0.0	Scaffold_2	34144	34602	459	C	ET_35	LTR/Gypsy	(4523)	7283	6825	4757	1
9811	3.3	0.9	0.7	Scaffold_2	34644	35793	1152	C	ET_35	LTR/Gypsy	(4978)	6828	5677	4757	1
21808	10.8	1.3	0.5	Scaffold_2	37279	41529	4285	C	ET_35	LTR/Gypsy	(7432)	4374	90	4761	1

###20812/615/3797	10.487	1.753	1.821	Scaffold_2	47346	51919	4394	+	ET_35	LTR/Gypsy	7284	11773	(33)	4768/4768/4768	3	No_ref_available
20812	9.2	0.8	1.7	Scaffold_2	47346	50425	3052	+	ET_35	LTR/Gypsy	7284	10335	(1471)	4768	1
615	13.3	0.0	0.0	Scaffold_2	50515	50619	105	+	ET_35	LTR/Gypsy	10374	10478	(1328)	4768	1
3797	13.6	4.4	2.3	Scaffold_2	50709	51919	1237	+	ET_35	LTR/Gypsy	10537	11773	(33)	4768	1

###14165/14165/5153	17.786	1.486	2.667	Scaffold_2	177457	182556	5024	C	ET_35	LTR/Gypsy	(4517)	7289	2154	4856/4856/4856	3	No_ref_available
14165	17.5	1.2	3.2	Scaffold_2	177457	178872	2148	C	ET_35	LTR/Gypsy	(4517)	7289	5142	4856	1
14165	17.5	1.2	3.2	Scaffold_2	180284	181530	1896	C	ET_35	LTR/Gypsy	(4517)	5141	3246	4856	1
5153	19.0	2.7	0.4	Scaffold_2	181599	182556	980	C	ET_35	LTR/Gypsy	(8673)	3133	2154	4856	1

###14384/14384/23800	12.928	0.874	1.728	Scaffold_2	408652	415910	7230	C	ET_35	LTR/Gypsy	(4517)	7289	1	5063/5063/5063	3	No_ref_available
14384	16.7	1.4	3.0	Scaffold_2	408652	410054	2154	C	ET_35	LTR/Gypsy	(4517)	7289	5136	5063	1
14384	16.7	1.4	3.0	Scaffold_2	411486	412718	1896	C	ET_35	LTR/Gypsy	(4517)	5135	3240	5063	1
23800	8.1	0.2	0.1	Scaffold_2	412733	415910	3180	C	ET_35	LTR/Gypsy	(8626)	3180	1	5063	1

###9822/16029/40898/283	5.074	1.035	0.542	Scaffold_2	471908	487134	10450	C	ET_35	LTR/Gypsy	(0)	11806	1	5095/5098/5104/5104	4	No_ref_available
9822	6.8	0.0	1.0	Scaffold_2	471908	473153	1234	C	ET_35	LTR/Gypsy	(0)	11806	10573	5095	1
16029	6.5	1.5	0.9	Scaffold_2	474373	478229	6737	C	ET_35	LTR/Gypsy	(2590)	9216	2480	5098	1
40898	2.9	0.9	0.0	Scaffold_2	482635	487060	5458	C	ET_35	LTR/Gypsy	(6316)	5490	33	5104	1
283	10.5	0.0	0.0	Scaffold_2	487097	487134	38	C	ET_35	LTR/Gypsy	(11768)	38	1	5104	1

###25216	7.7	1.4	0.7	Scaffold_2	574504	577823	3343	C	ET_35	LTR/Gypsy	(8463)	3343	1	5148	1	No_ref_available

###21879/6785/22181/9162	9.908	0.625	1.639	Scaffold_2	642158	657231	8310	+	ET_35	LTR/Gypsy	90	11806	(0)	5181/5181/5181/5185	4	No_ref_available
21879	11.1	0.5	0.6	Scaffold_2	642158	645205	3047	+	ET_35	LTR/Gypsy	90	3136	(8670)	5181	1
6785	17.5	0.2	0.0	Scaffold_2	645259	646401	1145	+	ET_35	LTR/Gypsy	3230	4374	(7432)	5181	1
22181	6.5	1.2	2.1	Scaffold_2	646518	649426	2883	+	ET_35	LTR/Gypsy	4401	7283	(4523)	5181	1
9162	7.9	0.0	4.6	Scaffold_2	655940	657231	1235	+	ET_35	LTR/Gypsy	10572	11806	(0)	5185	1

###7129/7547/7547/17129	11.212	1.191	1.811	Scaffold_2	679732	685697	5631	C	ET_35	LTR/Gypsy	(4517)	7289	87	5219/5219/5219/5219	4	No_ref_available
7129	9.5	1.3	3.8	Scaffold_2	679732	680864	1106	C	ET_35	LTR/Gypsy	(4517)	7289	6184	5219	1
7547	12.4	2.7	1.9	Scaffold_2	681213	681394	467	C	ET_35	LTR/Gypsy	(5972)	5834	5368	5219	1
7547	12.4	2.7	1.9	Scaffold_2	682556	683116	1452	C	ET_35	LTR/Gypsy	(5972)	5367	3916	5219	1
17129	12.1	0.4	0.1	Scaffold_2	683101	685697	2606	C	ET_35	LTR/Gypsy	(9114)	2692	87	5219	1

###4162/6168	19.213	2.485	0.906	Scaffold_2	765022	767067	1973	+	ET_35	LTR/Gypsy	311	5923	(5883)	5251/5252	2	No_ref_available
4162	22.1	3.9	0.0	Scaffold_2	765022	765864	876	+	ET_35	LTR/Gypsy	311	1186	(10620)	5251	1
6168	17.0	1.4	1.6	Scaffold_2	765968	767067	1097	+	ET_35	LTR/Gypsy	4827	5923	(5883)	5252	1

###21112/5771/11194	13.489	2.739	1.900	Scaffold_2	825191	831822	6683	+	ET_35	LTR/Gypsy	1	7289	(4517)	5282/5282/5282	3	No_ref_available
21112	10.4	1.3	0.4	Scaffold_2	825191	828336	3175	+	ET_35	LTR/Gypsy	1	3175	(8631)	5282	1
5771	17.9	7.2	2.1	Scaffold_2	828356	829590	1298	+	ET_35	LTR/Gypsy	3240	4537	(7269)	5282	1
11194	15.4	2.3	3.9	Scaffold_2	829577	831822	2210	+	ET_35	LTR/Gypsy	5080	7289	(4517)	5282	1

###24975/27086/27086/5883	5.760	0.772	0.521	Scaffold_2	901150	914372	7603	+	ET_35	LTR/Gypsy	90	11798	(8)	5363/5365/5365/5365	4	No_ref_available
24975	6.5	0.4	0.2	Scaffold_2	901150	904232	3088	+	ET_35	LTR/Gypsy	90	3177	(8629)	5363	1
27086	4.2	0.4	0.7	Scaffold_2	909749	911668	1923	+	ET_35	LTR/Gypsy	7284	9206	(2600)	5365	1
27086	4.2	0.4	0.7	Scaffold_2	911717	913000	1272	+	ET_35	LTR/Gypsy	9207	10478	(1328)	5365	1
5883	8.5	4.2	1.4	Scaffold_2	913088	914372	1321	+	ET_35	LTR/Gypsy	10478	11798	(8)	5365	1

###27720	10.5	1.1	0.9	Scaffold_2	904259	908408	7283	+	ET_35	LTR/Gypsy	1	7283	(4523)	5363	1	No_ref_available

###635	10.2	0.0	0.0	Scaffold_2	920956	921043	88	C	ET_35	LTR/Gypsy	(11718)	88	1	5368	1	No_ref_available

###24981/27395/5175	9.133	0.825	0.669	Scaffold_2	927419	937052	7739	+	ET_35	LTR/Gypsy	90	7896	(3910)	5378/5378/5378	3	No_ref_available
24981	6.6	0.4	0.2	Scaffold_2	927419	930501	3088	+	ET_35	LTR/Gypsy	90	3177	(8629)	5378	1
