Score	%_Div	%_Del	%_Ins	Query	Beg.	End.	Length	Sense	Element	Family	Pos_Repeat_Beg	Pos_Repeat_End	Pos_Repeat_Left	ID	Num_Assembled	%_of_Ref

25881	6.2	0.0	0.6	Scaffold_18	201664	204814	3133	C	ET_35	LTR/Gypsy	(8673)	3133	1	4385	1

###17460	4.3	0.1	0.2	Scaffold_18	192274	195562	2013	C	ET_32	LTR/Gypsy	(1179)	5055	3043	4382	1	No_ref_available

###23870/8149	9.132	0.580	1.238	Scaffold_18	195626	200288	4335	+	ET_33	DNA/Maverick	18	4741	(0)	4384/4386	2	0.914
23870	8.1	0.2	1.7	Scaffold_18	195626	198805	3131	+	ET_33	DNA/Maverick	18	3148	(1593)	4384	1
8149	11.9	1.6	0.0	Scaffold_18	199104	200288	1204	+	ET_33	DNA/Maverick	3538	4741	(0)	4386	1

###1037/5248	11.886	1.320	4.896	Scaffold_18	225702	227388	997	C	ET_33	DNA/Maverick	(1243)	3498	1849	4403/4405	2	0.210
1037	20.7	0.4	3.9	Scaffold_18	225702	225942	233	C	ET_33	DNA/Maverick	(1243)	3498	3266	4403	1
5248	9.2	1.6	5.2	Scaffold_18	226598	227388	764	C	ET_33	DNA/Maverick	(2129)	2612	1849	4405	1

###1682	9.9	0.0	0.0	Scaffold_18	244304	244526	223	+	ET_31	LINE/L1	2	224	(138)	4449	1	0.616

###279	15.0	10.8	9.8	Scaffold_18	255175	255285	112	+	ET_34	LTR/Gypsy	5892	6003	(1530)	4455	1	No_ref_available

###28679/13817/3354/4531	10.589	2.236	0.738	Scaffold_18	298941	314003	7384	+	ET_35	LTR/Gypsy	90	11798	(8)	4481/4481/4487/4487	4	No_ref_available
28679	12.5	1.6	0.6	Scaffold_18	298941	303182	4285	+	ET_35	LTR/Gypsy	90	4374	(7432)	4481	1
13817	7.7	1.9	1.4	Scaffold_18	303299	305150	1860	+	ET_35	LTR/Gypsy	4401	6260	(5546)	4481	1
3354	8.2	7.8	0.0	Scaffold_18	312780	313393	662	+	ET_35	LTR/Gypsy	10560	11221	(585)	4487	1
4531	5.6	2.1	0.0	Scaffold_18	313435	314003	581	+	ET_35	LTR/Gypsy	11218	11798	(8)	4487	1

###276/25225	8.285	1.503	1.996	Scaffold_18	305173	311683	3813	+	ET_32	LTR/Gypsy	1397	6234	(0)	4482/4485	2	No_ref_available
276	14.0	1.7	1.7	Scaffold_18	305173	305230	58	+	ET_32	LTR/Gypsy	1397	1454	(4780)	4482	1
25225	8.2	1.5	2.0	Scaffold_18	307787	311683	3755	+	ET_32	LTR/Gypsy	2480	6234	(0)	4485	1

###10272	7.0	0.0	6.0	Scaffold_18	305237	306659	1343	C	ET_33	DNA/Maverick	(1853)	2888	1546	4483	1	0.283

###7549	2.6	0.5	1.1	Scaffold_18	306077	306961	879	+	ET_32	LTR/Gypsy	799	1677	(4557)	4484	1	No_ref_available

###260	17.0	7.8	7.8	Scaffold_18	314056	314157	102	C	ET_31	LINE/L1	(22)	340	239	4488	1	0.282

###2481	7.9	0.8	4.5	Scaffold_18	320707	321077	358	+	ET_31	LINE/L1	2	359	(3)	4490	1	0.989
